record_id,q_idx,n_premises_used,query,premises,options,answer,answer_label,explanation,premises_fol,premises_used,reasoning,_target_split
SYN_node_helix_NO_COUNTER,0,1,Are all nodes cluster-ready?,"[""Every node has a verified checksum."", ""There exists a node that is not cluster-ready."", ""If a node has a verified checksum and a redundant power feed, then it is cluster-ready.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a node that is not cluster-ready. This is a direct counterexample to the claim that all nodes are cluster-ready; the answer is No.,"[""∀x verified_checksum(x)"", ""∃x ¬cluster_ready(x)"", ""∀x ((verified_checksum(x) ∧ redundant_power_feed(x)) → cluster_ready(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬cluster_ready(x)"", ""Derive: a node that is not cluster_ready exists ⟹ ¬∀x cluster_ready(x)"", ""Conclusion: not all nodes are cluster_ready ⟹ No""]}",train
SYN_seed_lot_v_UNC_MISSING,0,4,Do the premises establish that seed lot Verdant-3 is catalog-listed?,"[""If a seed lot has a germination test and a purity certificate, then it is nursery-ready."", ""If a seed lot is nursery-ready and has a moisture check, then it is catalog-listed."", ""Seed lot Verdant-3 has a germination test."", ""Seed lot Verdant-3 has a purity certificate."", ""Seed lot Verdant-3 has a barcode label.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (seed lot Verdant-3 has a germination test) and premise 3 (seed lot Verdant-3 has a purity certificate), premise 0 gives that seed lot Verdant-3 is nursery-ready. Premise 1 makes being catalog-listed also require a moisture check, but no premise states whether seed lot Verdant-3 has a moisture check, so it is unknown. Therefore being catalog-listed can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((germination_test(x) ∧ purity_certificate(x)) → nursery_ready(x))"", ""∀x ((nursery_ready(x) ∧ moisture_check(x)) → catalog_listed(x))"", ""germination_test(seed_lot_verdant_3)"", ""purity_certificate(seed_lot_verdant_3)"", ""barcode_label(seed_lot_verdant_3)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((germination_test(x) ∧ purity_certificate(x)) → nursery_ready(x))"", ""Rule: ∀x ((nursery_ready(x) ∧ moisture_check(x)) → catalog_listed(x))"", ""Fact: germination_test(seed_lot_verdant_3)"", ""Fact: purity_certificate(seed_lot_verdant_3)"", ""Derive: germination_test(seed_lot_verdant_3) ∧ purity_certificate(seed_lot_verdant_3) ⟹ nursery_ready(seed_lot_verdant_3) [modus ponens]"", ""Derive: moisture_check(seed_lot_verdant_3) is not asserted by any premise ⟹ Unknown"", ""Conclusion: catalog_listed(seed_lot_verdant_3) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_seed_lot_v_UNC_EPIST,0,1,Does seed lot Verdant-3 have an organic certification?,"[""If a seed lot has a germination test and a purity certificate, then it is nursery-ready."", ""Seed lot Verdant-3 has a germination test."", ""Seed lot Verdant-3 has a purity certificate."", ""No premise states whether seed lot Verdant-3 has an organic certification.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether seed lot Verdant-3 has an organic certification. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether seed lot Verdant-3 has an organic certification, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((germination_test(x) ∧ purity_certificate(x)) → nursery_ready(x))"", ""germination_test(seed_lot_verdant_3)"", ""purity_certificate(seed_lot_verdant_3)"", ""[UNCERTAIN] No premise states whether seed lot Verdant-3 has an organic certification.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states organic_certification(seed_lot_verdant_3) is unknown"", ""Derive: no rule or fact establishes organic_certification(seed_lot_verdant_3) ⟹ Unknown"", ""Conclusion: organic_certification(seed_lot_verdant_3) is undetermined ⟹ Uncertain""]}",train
SYN_seed_lot_v_NO_BLOCKED,0,3,Can seed lot Verdant-3 be sold to growers?,"[""If a seed lot has a germination test and a purity certificate, then it can be sold to growers."", ""Seed lot Verdant-3 has a germination test."", ""Seed lot Verdant-3 lacks a purity certificate.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a germination test and a purity certificate to be sold to growers. By premise 1, seed lot Verdant-3 has a germination test, but premise 2 states seed lot Verdant-3 lacks a purity certificate. A required condition is explicitly false, so seed lot Verdant-3 cannot be sold to growers; the answer is No.","[""∀x ((germination_test(x) ∧ purity_certificate(x)) → can_be_sold_to_growers(x))"", ""germination_test(seed_lot_verdant_3)"", ""¬purity_certificate(seed_lot_verdant_3)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((germination_test(x) ∧ purity_certificate(x)) → can_be_sold_to_growers(x))"", ""Fact: germination_test(seed_lot_verdant_3)"", ""Fact: ¬purity_certificate(seed_lot_verdant_3)"", ""Derive: ¬purity_certificate(seed_lot_verdant_3) makes the antecedent false ⟹ can_be_sold_to_growers(seed_lot_verdant_3) not derivable"", ""Conclusion: ¬can_be_sold_to_growers(seed_lot_verdant_3) ⟹ No""]}",train
SYN_seed_lot_v_NO_CONTRA,0,3,Do the premises establish that seed lot Verdant-3 should be sold to growers?,"[""If a seed lot has a germination test, then it requires a quarantine flag."", ""If a seed lot requires a quarantine flag, then it should not be sold to growers without review."", ""Seed lot Verdant-3 has a germination test.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (seed lot Verdant-3 has a germination test) and premise 0, seed lot Verdant-3 requires a quarantine flag. Premise 1 then states seed lot Verdant-3 should not be sold to growers without review. Therefore the premises do not establish that seed lot Verdant-3 should be sold to growers; the answer is No.","[""∀x (germination_test(x) → requires_quarantine_flag(x))"", ""∀x (requires_quarantine_flag(x) → ¬(can_be_sold_to_growers(x) ∧ ¬reviewed(x)))"", ""germination_test(seed_lot_verdant_3)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (germination_test(x) → requires_quarantine_flag(x))"", ""Rule: ∀x (requires_quarantine_flag(x) → ¬(can_be_sold_to_growers(x) ∧ ¬reviewed(x)))"", ""Fact: germination_test(seed_lot_verdant_3)"", ""Derive: germination_test(seed_lot_verdant_3) ⟹ requires_quarantine_flag(seed_lot_verdant_3) [modus ponens]"", ""Derive: requires_quarantine_flag(seed_lot_verdant_3) ⟹ ¬(can_be_sold_to_growers(seed_lot_verdant_3) ∧ ¬reviewed(seed_lot_verdant_3)) [modus ponens]"", ""Conclusion: the premises do not establish can_be_sold_to_growers(seed_lot_verdant_3) ⟹ No""]}",train
SYN_seed_lot_v_NO_COUNTER,0,1,Are all seed lots nursery-ready?,"[""Every seed lot has a germination test."", ""There exists a seed lot that is not nursery-ready."", ""If a seed lot has a germination test and a purity certificate, then it is nursery-ready.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a seed lot that is not nursery-ready. This is a direct counterexample to the claim that all seed lots are nursery-ready; the answer is No.,"[""∀x germination_test(x)"", ""∃x ¬nursery_ready(x)"", ""∀x ((germination_test(x) ∧ purity_certificate(x)) → nursery_ready(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬nursery_ready(x)"", ""Derive: a seed lot that is not nursery_ready exists ⟹ ¬∀x nursery_ready(x)"", ""Conclusion: not all seed lots are nursery_ready ⟹ No""]}",train
SYN_meridian_g_UNC_MISSING,0,4,Do the premises establish that the Meridian Grant is panel-listed?,"[""If a grant has a submitted budget and an ethics approval, then it is review-ready."", ""If a grant is review-ready and has a signed host letter, then it is panel-listed."", ""The Meridian Grant has a submitted budget."", ""The Meridian Grant has an ethics approval."", ""The Meridian Grant has an abstract.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (the Meridian Grant has a submitted budget) and premise 3 (the Meridian Grant has an ethics approval), premise 0 gives that the Meridian Grant is review-ready. Premise 1 makes being panel-listed also require a signed host letter, but no premise states whether the Meridian Grant has a signed host letter, so it is unknown. Therefore being panel-listed can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((submitted_budget(x) ∧ ethics_approval(x)) → review_ready(x))"", ""∀x ((review_ready(x) ∧ signed_host_letter(x)) → panel_listed(x))"", ""submitted_budget(meridian_grant)"", ""ethics_approval(meridian_grant)"", ""abstract(meridian_grant)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((submitted_budget(x) ∧ ethics_approval(x)) → review_ready(x))"", ""Rule: ∀x ((review_ready(x) ∧ signed_host_letter(x)) → panel_listed(x))"", ""Fact: submitted_budget(meridian_grant)"", ""Fact: ethics_approval(meridian_grant)"", ""Derive: submitted_budget(meridian_grant) ∧ ethics_approval(meridian_grant) ⟹ review_ready(meridian_grant) [modus ponens]"", ""Derive: signed_host_letter(meridian_grant) is not asserted by any premise ⟹ Unknown"", ""Conclusion: panel_listed(meridian_grant) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_meridian_g_UNC_EPIST,0,1,Does the Meridian Grant have a matching donor?,"[""If a grant has a submitted budget and an ethics approval, then it is review-ready."", ""The Meridian Grant has a submitted budget."", ""The Meridian Grant has an ethics approval."", ""No premise states whether the Meridian Grant has a matching donor.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether the Meridian Grant has a matching donor. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether the Meridian Grant has a matching donor, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((submitted_budget(x) ∧ ethics_approval(x)) → review_ready(x))"", ""submitted_budget(meridian_grant)"", ""ethics_approval(meridian_grant)"", ""[UNCERTAIN] No premise states whether the Meridian Grant has a matching donor.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states matching_donor(meridian_grant) is unknown"", ""Derive: no rule or fact establishes matching_donor(meridian_grant) ⟹ Unknown"", ""Conclusion: matching_donor(meridian_grant) is undetermined ⟹ Uncertain""]}",train
SYN_meridian_g_NO_BLOCKED,0,3,Can the Meridian Grant be awarded?,"[""If a grant has a submitted budget and an ethics approval, then it can be awarded."", ""The Meridian Grant has a submitted budget."", ""The Meridian Grant lacks an ethics approval.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a submitted budget and an ethics approval to be awarded. By premise 1, the Meridian Grant has a submitted budget, but premise 2 states the Meridian Grant lacks an ethics approval. A required condition is explicitly false, so the Meridian Grant cannot be awarded; the answer is No.","[""∀x ((submitted_budget(x) ∧ ethics_approval(x)) → can_be_awarded(x))"", ""submitted_budget(meridian_grant)"", ""¬ethics_approval(meridian_grant)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((submitted_budget(x) ∧ ethics_approval(x)) → can_be_awarded(x))"", ""Fact: submitted_budget(meridian_grant)"", ""Fact: ¬ethics_approval(meridian_grant)"", ""Derive: ¬ethics_approval(meridian_grant) makes the antecedent false ⟹ can_be_awarded(meridian_grant) not derivable"", ""Conclusion: ¬can_be_awarded(meridian_grant) ⟹ No""]}",train
SYN_meridian_g_NO_CONTRA,0,3,Do the premises establish that the Meridian Grant should be awarded?,"[""If a grant has a submitted budget, then it requires a conflict-of-interest review."", ""If a grant requires a conflict-of-interest review, then it should not be awarded without review."", ""The Meridian Grant has a submitted budget.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (the Meridian Grant has a submitted budget) and premise 0, the Meridian Grant requires a conflict-of-interest review. Premise 1 then states the Meridian Grant should not be awarded without review. Therefore the premises do not establish that the Meridian Grant should be awarded; the answer is No.","[""∀x (submitted_budget(x) → requires_conflict_of_interest_review(x))"", ""∀x (requires_conflict_of_interest_review(x) → ¬(can_be_awarded(x) ∧ ¬reviewed(x)))"", ""submitted_budget(meridian_grant)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (submitted_budget(x) → requires_conflict_of_interest_review(x))"", ""Rule: ∀x (requires_conflict_of_interest_review(x) → ¬(can_be_awarded(x) ∧ ¬reviewed(x)))"", ""Fact: submitted_budget(meridian_grant)"", ""Derive: submitted_budget(meridian_grant) ⟹ requires_conflict_of_interest_review(meridian_grant) [modus ponens]"", ""Derive: requires_conflict_of_interest_review(meridian_grant) ⟹ ¬(can_be_awarded(meridian_grant) ∧ ¬reviewed(meridian_grant)) [modus ponens]"", ""Conclusion: the premises do not establish can_be_awarded(meridian_grant) ⟹ No""]}",train
SYN_meridian_g_NO_COUNTER,0,1,Are all grants review-ready?,"[""Every grant has a submitted budget."", ""There exists a grant that is not review-ready."", ""If a grant has a submitted budget and an ethics approval, then it is review-ready.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a grant that is not review-ready. This is a direct counterexample to the claim that all grants are review-ready; the answer is No.,"[""∀x submitted_budget(x)"", ""∃x ¬review_ready(x)"", ""∀x ((submitted_budget(x) ∧ ethics_approval(x)) → review_ready(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬review_ready(x)"", ""Derive: a grant that is not review_ready exists ⟹ ¬∀x review_ready(x)"", ""Conclusion: not all grants are review_ready ⟹ No""]}",train
SYN_container__UNC_MISSING,0,4,Do the premises establish that container Orca-12 is export-listed?,"[""If a container has a sealed manifest and a customs clearance, then it is dock-ready."", ""If a container is dock-ready and has a weight certificate, then it is export-listed."", ""Container Orca-12 has a sealed manifest."", ""Container Orca-12 has a customs clearance."", ""Container Orca-12 has a paint code.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (container Orca-12 has a sealed manifest) and premise 3 (container Orca-12 has a customs clearance), premise 0 gives that container Orca-12 is dock-ready. Premise 1 makes being export-listed also require a weight certificate, but no premise states whether container Orca-12 has a weight certificate, so it is unknown. Therefore being export-listed can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((sealed_manifest(x) ∧ customs_clearance(x)) → dock_ready(x))"", ""∀x ((dock_ready(x) ∧ weight_certificate(x)) → export_listed(x))"", ""sealed_manifest(container_orca_12)"", ""customs_clearance(container_orca_12)"", ""paint_code(container_orca_12)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((sealed_manifest(x) ∧ customs_clearance(x)) → dock_ready(x))"", ""Rule: ∀x ((dock_ready(x) ∧ weight_certificate(x)) → export_listed(x))"", ""Fact: sealed_manifest(container_orca_12)"", ""Fact: customs_clearance(container_orca_12)"", ""Derive: sealed_manifest(container_orca_12) ∧ customs_clearance(container_orca_12) ⟹ dock_ready(container_orca_12) [modus ponens]"", ""Derive: weight_certificate(container_orca_12) is not asserted by any premise ⟹ Unknown"", ""Conclusion: export_listed(container_orca_12) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_container__UNC_EPIST,0,1,Does container Orca-12 have a hazmat placard?,"[""If a container has a sealed manifest and a customs clearance, then it is dock-ready."", ""Container Orca-12 has a sealed manifest."", ""Container Orca-12 has a customs clearance."", ""No premise states whether container Orca-12 has a hazmat placard.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether container Orca-12 has a hazmat placard. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether container Orca-12 has a hazmat placard, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((sealed_manifest(x) ∧ customs_clearance(x)) → dock_ready(x))"", ""sealed_manifest(container_orca_12)"", ""customs_clearance(container_orca_12)"", ""[UNCERTAIN] No premise states whether container Orca-12 has a hazmat placard.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states hazmat_placard(container_orca_12) is unknown"", ""Derive: no rule or fact establishes hazmat_placard(container_orca_12) ⟹ Unknown"", ""Conclusion: hazmat_placard(container_orca_12) is undetermined ⟹ Uncertain""]}",train
SYN_container__NO_BLOCKED,0,3,Can container Orca-12 be loaded onto the vessel?,"[""If a container has a sealed manifest and a customs clearance, then it can be loaded onto the vessel."", ""Container Orca-12 has a sealed manifest."", ""Container Orca-12 lacks a customs clearance.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a sealed manifest and a customs clearance to be loaded onto the vessel. By premise 1, container Orca-12 has a sealed manifest, but premise 2 states container Orca-12 lacks a customs clearance. A required condition is explicitly false, so container Orca-12 cannot be loaded onto the vessel; the answer is No.","[""∀x ((sealed_manifest(x) ∧ customs_clearance(x)) → can_be_loaded_onto_the_vessel(x))"", ""sealed_manifest(container_orca_12)"", ""¬customs_clearance(container_orca_12)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((sealed_manifest(x) ∧ customs_clearance(x)) → can_be_loaded_onto_the_vessel(x))"", ""Fact: sealed_manifest(container_orca_12)"", ""Fact: ¬customs_clearance(container_orca_12)"", ""Derive: ¬customs_clearance(container_orca_12) makes the antecedent false ⟹ can_be_loaded_onto_the_vessel(container_orca_12) not derivable"", ""Conclusion: ¬can_be_loaded_onto_the_vessel(container_orca_12) ⟹ No""]}",train
SYN_container__NO_CONTRA,0,3,Do the premises establish that container Orca-12 should be loaded onto the vessel?,"[""If a container has a sealed manifest, then it requires an inspection hold."", ""If a container requires an inspection hold, then it should not be loaded onto the vessel without review."", ""Container Orca-12 has a sealed manifest.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (container Orca-12 has a sealed manifest) and premise 0, container Orca-12 requires an inspection hold. Premise 1 then states container Orca-12 should not be loaded onto the vessel without review. Therefore the premises do not establish that container Orca-12 should be loaded onto the vessel; the answer is No.","[""∀x (sealed_manifest(x) → requires_inspection_hold(x))"", ""∀x (requires_inspection_hold(x) → ¬(can_be_loaded_onto_the_vessel(x) ∧ ¬reviewed(x)))"", ""sealed_manifest(container_orca_12)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (sealed_manifest(x) → requires_inspection_hold(x))"", ""Rule: ∀x (requires_inspection_hold(x) → ¬(can_be_loaded_onto_the_vessel(x) ∧ ¬reviewed(x)))"", ""Fact: sealed_manifest(container_orca_12)"", ""Derive: sealed_manifest(container_orca_12) ⟹ requires_inspection_hold(container_orca_12) [modus ponens]"", ""Derive: requires_inspection_hold(container_orca_12) ⟹ ¬(can_be_loaded_onto_the_vessel(container_orca_12) ∧ ¬reviewed(container_orca_12)) [modus ponens]"", ""Conclusion: the premises do not establish can_be_loaded_onto_the_vessel(container_orca_12) ⟹ No""]}",train
SYN_container__NO_COUNTER,0,1,Are all containers dock-ready?,"[""Every container has a sealed manifest."", ""There exists a container that is not dock-ready."", ""If a container has a sealed manifest and a customs clearance, then it is dock-ready.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a container that is not dock-ready. This is a direct counterexample to the claim that all containers are dock-ready; the answer is No.,"[""∀x sealed_manifest(x)"", ""∃x ¬dock_ready(x)"", ""∀x ((sealed_manifest(x) ∧ customs_clearance(x)) → dock_ready(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬dock_ready(x)"", ""Derive: a container that is not dock_ready exists ⟹ ¬∀x dock_ready(x)"", ""Conclusion: not all containers are dock_ready ⟹ No""]}",train
SYN_water_samp_UNC_MISSING,0,4,Do the premises establish that water sample Brookline-7 is report-listed?,"[""If a water sample has a chain-of-custody form and a pH reading, then it is lab-ready."", ""If a water sample is lab-ready and has a turbidity reading, then it is report-listed."", ""Water sample Brookline-7 has a chain-of-custody form."", ""Water sample Brookline-7 has a pH reading."", ""Water sample Brookline-7 has a sample label.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (water sample Brookline-7 has a chain-of-custody form) and premise 3 (water sample Brookline-7 has a pH reading), premise 0 gives that water sample Brookline-7 is lab-ready. Premise 1 makes being report-listed also require a turbidity reading, but no premise states whether water sample Brookline-7 has a turbidity reading, so it is unknown. Therefore being report-listed can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((chain_of_custody_form(x) ∧ ph_reading(x)) → lab_ready(x))"", ""∀x ((lab_ready(x) ∧ turbidity_reading(x)) → report_listed(x))"", ""chain_of_custody_form(water_sample_brookline_7)"", ""ph_reading(water_sample_brookline_7)"", ""sample_label(water_sample_brookline_7)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((chain_of_custody_form(x) ∧ ph_reading(x)) → lab_ready(x))"", ""Rule: ∀x ((lab_ready(x) ∧ turbidity_reading(x)) → report_listed(x))"", ""Fact: chain_of_custody_form(water_sample_brookline_7)"", ""Fact: ph_reading(water_sample_brookline_7)"", ""Derive: chain_of_custody_form(water_sample_brookline_7) ∧ ph_reading(water_sample_brookline_7) ⟹ lab_ready(water_sample_brookline_7) [modus ponens]"", ""Derive: turbidity_reading(water_sample_brookline_7) is not asserted by any premise ⟹ Unknown"", ""Conclusion: report_listed(water_sample_brookline_7) can be neither proven nor refuted ⟹ Uncertain""]}",train
SYN_water_samp_UNC_EPIST,0,1,Does water sample Brookline-7 have a fluoride additive?,"[""If a water sample has a chain-of-custody form and a pH reading, then it is lab-ready."", ""Water sample Brookline-7 has a chain-of-custody form."", ""Water sample Brookline-7 has a pH reading."", ""No premise states whether water sample Brookline-7 has a fluoride additive.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"The question asks whether water sample Brookline-7 has a fluoride additive. No rule concludes it and no fact asserts it; premise 3 states that no premise establishes whether water sample Brookline-7 has a fluoride additive, so it is unknown. It can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((chain_of_custody_form(x) ∧ ph_reading(x)) → lab_ready(x))"", ""chain_of_custody_form(water_sample_brookline_7)"", ""ph_reading(water_sample_brookline_7)"", ""[UNCERTAIN] No premise states whether water sample Brookline-7 has a fluoride additive.""]",[3],"{""type"": ""fol"", ""steps"": [""Fact: premise 3 states fluoride_additive(water_sample_brookline_7) is unknown"", ""Derive: no rule or fact establishes fluoride_additive(water_sample_brookline_7) ⟹ Unknown"", ""Conclusion: fluoride_additive(water_sample_brookline_7) is undetermined ⟹ Uncertain""]}",train
SYN_water_samp_NO_BLOCKED,0,3,Can water sample Brookline-7 be certified potable?,"[""If a water sample has a chain-of-custody form and a pH reading, then it can be certified potable."", ""Water sample Brookline-7 has a chain-of-custody form."", ""Water sample Brookline-7 lacks a pH reading.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"Premise 0 requires both a chain-of-custody form and a pH reading to be certified potable. By premise 1, water sample Brookline-7 has a chain-of-custody form, but premise 2 states water sample Brookline-7 lacks a pH reading. A required condition is explicitly false, so water sample Brookline-7 cannot be certified potable; the answer is No.","[""∀x ((chain_of_custody_form(x) ∧ ph_reading(x)) → can_be_certified_potable(x))"", ""chain_of_custody_form(water_sample_brookline_7)"", ""¬ph_reading(water_sample_brookline_7)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((chain_of_custody_form(x) ∧ ph_reading(x)) → can_be_certified_potable(x))"", ""Fact: chain_of_custody_form(water_sample_brookline_7)"", ""Fact: ¬ph_reading(water_sample_brookline_7)"", ""Derive: ¬ph_reading(water_sample_brookline_7) makes the antecedent false ⟹ can_be_certified_potable(water_sample_brookline_7) not derivable"", ""Conclusion: ¬can_be_certified_potable(water_sample_brookline_7) ⟹ No""]}",train
SYN_water_samp_NO_CONTRA,0,3,Do the premises establish that water sample Brookline-7 should be certified potable?,"[""If a water sample has a chain-of-custody form, then it requires a recheck order."", ""If a water sample requires a recheck order, then it should not be certified potable without review."", ""Water sample Brookline-7 has a chain-of-custody form.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,"By premise 2 (water sample Brookline-7 has a chain-of-custody form) and premise 0, water sample Brookline-7 requires a recheck order. Premise 1 then states water sample Brookline-7 should not be certified potable without review. Therefore the premises do not establish that water sample Brookline-7 should be certified potable; the answer is No.","[""∀x (chain_of_custody_form(x) → requires_recheck_order(x))"", ""∀x (requires_recheck_order(x) → ¬(can_be_certified_potable(x) ∧ ¬reviewed(x)))"", ""chain_of_custody_form(water_sample_brookline_7)""]","[0, 1, 2]","{""type"": ""fol"", ""steps"": [""Rule: ∀x (chain_of_custody_form(x) → requires_recheck_order(x))"", ""Rule: ∀x (requires_recheck_order(x) → ¬(can_be_certified_potable(x) ∧ ¬reviewed(x)))"", ""Fact: chain_of_custody_form(water_sample_brookline_7)"", ""Derive: chain_of_custody_form(water_sample_brookline_7) ⟹ requires_recheck_order(water_sample_brookline_7) [modus ponens]"", ""Derive: requires_recheck_order(water_sample_brookline_7) ⟹ ¬(can_be_certified_potable(water_sample_brookline_7) ∧ ¬reviewed(water_sample_brookline_7)) [modus ponens]"", ""Conclusion: the premises do not establish can_be_certified_potable(water_sample_brookline_7) ⟹ No""]}",train
SYN_water_samp_NO_COUNTER,0,1,Are all water samples lab-ready?,"[""Every water sample has a chain-of-custody form."", ""There exists a water sample that is not lab-ready."", ""If a water sample has a chain-of-custody form and a pH reading, then it is lab-ready.""]","[""Yes"", ""No"", ""Uncertain""]",No,No,Premise 1 states there exists a water sample that is not lab-ready. This is a direct counterexample to the claim that all water samples are lab-ready; the answer is No.,"[""∀x chain_of_custody_form(x)"", ""∃x ¬lab_ready(x)"", ""∀x ((chain_of_custody_form(x) ∧ ph_reading(x)) → lab_ready(x))""]",[1],"{""type"": ""fol"", ""steps"": [""Fact: ∃x ¬lab_ready(x)"", ""Derive: a water sample that is not lab_ready exists ⟹ ¬∀x lab_ready(x)"", ""Conclusion: not all water samples are lab_ready ⟹ No""]}",train
SYN_firmware_b_UNC_MISSING,0,4,Do the premises establish that firmware build Tundra-5 is release-listed?,"[""If a build has a passing unit test and a security scan, then it is staging-ready."", ""If a build is staging-ready and has a signed binary, then it is release-listed."", ""Firmware build Tundra-5 has a passing unit test."", ""Firmware build Tundra-5 has a security scan."", ""Firmware build Tundra-5 has a changelog.""]","[""Yes"", ""No"", ""Uncertain""]",Uncertain,Uncertain,"By premise 2 (firmware build Tundra-5 has a passing unit test) and premise 3 (firmware build Tundra-5 has a security scan), premise 0 gives that firmware build Tundra-5 is staging-ready. Premise 1 makes being release-listed also require a signed binary, but no premise states whether firmware build Tundra-5 has a signed binary, so it is unknown. Therefore being release-listed can be neither proven nor disproven; the answer is Uncertain.","[""∀x ((passing_unit_test(x) ∧ security_scan(x)) → staging_ready(x))"", ""∀x ((staging_ready(x) ∧ signed_binary(x)) → release_listed(x))"", ""passing_unit_test(firmware_build_tundra_5)"", ""security_scan(firmware_build_tundra_5)"", ""changelog(firmware_build_tundra_5)""]","[0, 1, 2, 3]","{""type"": ""fol"", ""steps"": [""Rule: ∀x ((passing_unit_test(x) ∧ security_scan(x)) → staging_ready(x))"", ""Rule: ∀x ((staging_ready(x) ∧ signed_binary(x)) → release_listed(x))"", ""Fact: passing_unit_test(firmware_build_tundra_5)"", ""Fact: security_scan(firmware_build_tundra_5)"", ""Derive: passing_unit_test(firmware_build_tundra_5) ∧ security_scan(firmware_build_tundra_5) ⟹ staging_ready(firmware_build_tundra_5) [modus ponens]"", ""Derive: signed_binary(firmware_build_tundra_5) is not asserted by any premise ⟹ Unknown"", ""Conclusion: release_listed(firmware_build_tundra_5) can be neither proven nor refuted ⟹ Uncertain""]}",train
