record_id,q_idx,n_premises_nl,n_premises_used,premise_use_ratio,question,answer,answer_norm,is_mcq,is_yn,is_open,exp_words,n_cited_in_exp,cite_subset,has_numeric
7,0,8,5,0.625,"Based on the premises, which capabilities does Dr. John have?
A. Can teach undergraduate courses only
B. Can be a research mentor
C. Cannot teach graduate courses
D. Needs additional certification to mentor",B,MCQ_B,True,False,False,77,3,True,False
7,1,8,5,0.625,"Does Dr. John’s PhD qualification make him eligible to be a research mentor, according to the premises?",No,No,False,True,False,47,5,True,False
8,0,6,6,1.0,"Based on the premises, what can we conclude about the curriculum?
A. It enhances student engagement but not critical thinking
B. It enhances critical thinking
C. It needs more resources to enhance critical thinking
D. It is well-structured but lacks exercises",B,MCQ_B,True,False,False,76,6,True,False
8,1,6,6,1.0,"Does the combination of faculty priorities and curriculum features lead to enhanced critical thinking, according to the premises?",Yes,Yes,False,True,False,45,6,True,False
9,0,6,6,1.0,"Based on the premises, what can we conclude about the curriculum?
A. It enhances student engagement but not critical thinking
B. It enhances critical thinking
C. It needs more resources to enhance critical thinking
D. It is well-structured but lacks exercises",B,MCQ_B,True,False,False,76,6,True,False
9,1,6,6,1.0,"Does the combination of faculty priorities and curriculum features lead to enhanced critical thinking, according to the premises?",Yes,Yes,False,True,False,45,6,True,False
10,0,5,3,0.6,"Based on the prerequisites, what is David’s current eligibility status?
A. Eligible for Course C but not the internship
B. Eligible for the internship program
C. Needs to pass Course B first
D. Only eligible for Course B",B,MCQ_B,True,False,False,76,3,True,False
10,1,5,3,0.6,Does the logical progression demonstrate that David meets all requirements for the internship?,Yes,Yes,False,False,True,42,3,True,False
11,0,7,4,0.5714285714285714,"Based on Alex's status, which statement is correct?
A. Alex can use equipment but cannot book training without a trainer
B. Alex can book personal training sessions if assigned a trainer
C. Alex needs a longer membership duration
D. Alex must pay additional fees",C,MCQ_C,True,False,False,73,5,False,False
11,1,7,5,0.7142857142857143,"Does Alex meet all requirements for booking training sessions, according to the premises?",No,No,False,True,False,45,1,True,False
12,0,5,3,0.6,"Based on the requirements, which statement about Sarah is correct?
A. She can take advanced classes because she has approval
B. She cannot take advanced classes due to insufficient completed courses
C. She is eligible but lacks approval
D. Her active status alone qualifies her",D,MCQ_D,True,False,False,75,3,True,False
12,1,5,5,1.0,"Does Sarah meet all requirements to take advanced classes, according to the premises?",No,No,False,True,False,52,5,True,False
13,0,5,3,0.6,"Based on Professor John's qualifications, which capabilities does he have?
A. Can teach graduate courses but cannot supervise research
B. Can supervise Master's students but not graduate research
C. Can both teach graduate courses and supervise research
D. Needs additional certification to supervise",C,MCQ_C,True,False,False,71,3,True,False
13,1,5,3,0.6,"Can Professor John supervise graduate-level research based on his PhD qualification, according to the premises?",No,No,False,True,False,36,3,True,False
14,0,7,3,0.42857142857142855,"Based on Dr. John's qualifications, which statement is correct?
A. He can teach undergraduate courses
B. He qualifies as department head but cannot teach
C. He needs a Master's degree to teach undergraduates
D. His PhD is insufficient for teaching",A,MCQ_A,True,False,False,72,3,True,False
14,1,7,3,0.42857142857142855,"Can Dr. John teach undergraduate courses, according to the premises?",No,No,False,True,False,39,3,True,False
15,0,4,4,1.0,"Based on Nurse John's qualifications, which statement is correct?
A. He can prescribe medication
B. He needs more clinical hours
C. He isn't registered
D. He can't prescribe without additional certification",A,MCQ_A,True,False,False,75,4,True,False
15,1,4,4,1.0,"Can Nurse John prescribe medication, according to the premises?",Yes,Yes,False,True,False,39,4,True,False
16,0,4,4,1.0,"Based on Alex's status, which statement is correct?
A. Alex can use equipment but can't book training
B. Alex can book personal training sessions
C. Alex needs longer membership duration
D. Alex must pay additional fees",B,MCQ_B,True,False,False,63,0,True,False
16,1,4,4,1.0,Does the logical sequence demonstrate that Alex meets all requirements for booking training sessions?,Yes,Yes,False,False,True,31,0,True,False
17,0,8,2,0.25,"Based on Minh's academic progress, which of the following is logically supported?
A. Minh has met the criteria to pursue Biochemistry
B. Minh cannot take Biochemistry without Lab Safety Certification
C. Minh is not eligible to enroll in Organic Chemistry
D. Minh needs to repeat Chemistry 101",A,MCQ_A,True,False,False,71,2,True,True
17,1,8,2,0.25,"Does Minh qualify to take Biochemistry based on her completed coursework, according to the premises?",No,No,False,True,False,28,2,True,False
18,0,6,2,0.3333333333333333,Have all employees paid?,Yes,Yes,False,False,True,25,2,True,False
18,1,6,2,0.3333333333333333,Are all employees registered?,Yes,Yes,False,False,True,25,2,True,False
19,0,6,2,0.3333333333333333,Do all employees receive a bonus?,Yes,Yes,False,False,True,26,2,True,False
19,1,6,3,0.5,Are all employees suitable for a senior role?,Yes,Yes,False,False,True,36,3,True,False
20,0,10,2,0.2,"Based on the premises, which conclusion is logically valid?
A. A student with low attendance, assignment completion, and professor approval can pass the course if they complete the exam.
B. A student with less than 80% attendance who doesn’t complete the assignment can still take the exam.
C. A student with 60% attendance and a scholarship automatically passes all courses.
D. A student who attends every class but doesn’t complete the exam can still pass.",A,MCQ_A,True,False,False,86,4,False,True
20,1,10,3,0.3,"Is it true that a student who completes 3 courses with scores above 8.5 will graduate, according to the premises?",No,No,False,True,False,48,3,True,True
21,0,10,5,0.5,"Based on the premises, which conclusion is correct?
A. A student who studies >12 hours, doesn’t debate, and writes a high-quality essay in political studies can qualify for a fellowship
B. A student studying <6 hours who avoids both debates and essays will pass
C. Understanding ideologies without policy analysis leads to automatic recognition
D. All students must participate in debates regardless of their study hours",A,MCQ_A,True,False,False,89,8,False,True
21,1,10,2,0.2,"Does writing a high-quality analytical essay guarantee qualification for a research fellowship, according to the premises?",No,No,False,True,False,38,2,True,False
22,0,10,5,0.5,"Based on the premises, which conclusion is correct?
A. A student mastering superposition who writes an original research paper in quantum mechanics qualifies for a scholarship
B. Limited study time (<8h) doesn’t impair superposition understanding
C. Merely explaining quantum measurement guarantees recognition
D. All students must analyze entanglement regardless of their expertise",A,MCQ_A,True,False,False,87,8,False,True
22,1,10,3,0.3,"Is producing original research while avoiding presentations sufficient to qualify for a scholarship, according to the premises?",No,No,False,True,False,40,3,True,False
23,0,14,12,0.8571428571428571,"Based on the premises, which conclusion is correct?
A. A student who develops through the quantum theory chain, from duality to advanced research preparation, can make academic contributions through publication or seminar
B. Laboratory access is independent of publication/seminar participation
C. Interpretation critique alone qualifies for research positions
D. Understanding wave-particle duality guarantees lab access",A,MCQ_A,True,False,False,30,0,True,False
23,1,14,4,0.2857142857142857,"According to the premises, is the following statement true?
Statement: A student who reaches advanced research preparation but avoids both publication and seminar opportunities will still qualify for laboratory access",No,No,False,True,False,33,0,True,False
24,0,10,2,0.2,"Based on the learning science principles, which statement is correct?
A. Spaced repetition improves both memory and academic performance
B. Excessively long intervals preserve knowledge without review
C. AI cannot optimize study schedules for memory retention
D. Passive reading is more effective than active recall",A,MCQ_A,True,False,False,63,5,False,False
24,1,10,3,0.3,"Which of these conclusions is supported by the forgetting curve research?
A. Review timing has no impact on retention
B. Optimal intervals prevent both premature review and excessive forgetting
C. Sleep has no effect on memory consolidation
D. All learning methods yield identical results",B,MCQ_B,True,False,False,64,5,False,False
25,0,10,3,0.3,"Based on the learning science principles, which statement is correct?
A. Spaced repetition improves both memory and academic performance
B. Excessively long intervals preserve knowledge without review
C. AI cannot optimize study schedules for memory retention
D. Passive reading is more effective than active recall",A,MCQ_A,True,False,False,37,3,True,False
25,1,10,3,0.3,"Which of these conclusions is supported by the forgetting curve research?
A. Review timing has no impact on retention
B. Optimal intervals prevent both premature review and excessive forgetting
C. Sleep has no effect on memory consolidation
D. All learning methods yield identical results",B,MCQ_B,True,False,False,32,3,True,False
26,0,8,3,0.375,"Based on the geometric principles, which statement about quadrilaterals is correct?
A. A quadrilateral with opposite angles summing to 180° and a perpendicular bisecting diagonal must be a cyclic trapezium
B. All quadrilaterals with perpendicular diagonals are cyclic
C. Only rectangles can have opposite angles summing to 180°
D. A quadrilateral cannot be both cyclic and have perpendicular diagonals",A,MCQ_A,True,False,False,48,3,True,True
26,1,8,3,0.375,"Which premises support that a quadrilateral with opposite angles summing to 180° and a perpendicular bisecting diagonal is a cyclic trapezium?
A. Premises 1, 3, 7
B. Premises 2, 5, 6
C. Premises 4, 8
D. Premises 1, 2, 5",A,MCQ_A,True,False,False,31,3,True,True
27,0,10,10,1.0,"Based on the learning principles, which combination of factors most significantly decreases learning efficiency?
A. Procrastination + passive review + sleep deprivation
B. Clear deadlines + high stress
C. Pomodoro technique + overwhelming task size
D. Task breakdown + excessive distractions",Unknown,Unknown,True,False,False,27,0,True,False
27,1,10,3,0.3,Which premises directly support the conclusion about decreased learning efficiency?,Unknown,Unknown,False,False,True,37,4,False,False
28,0,28,9,0.32142857142857145,"Based on the mission parameters, which scenario accurately describes Luna's Mars expedition?
A. Flawless simulations, minor trajectory tweak, routine rover check, brief signal delay
B. Failed simulations, audit rejection, high radiation, equipment breakdown
C. Incomplete training, miscalculated trajectory, unsafe landing, delayed return
D. Perfect execution, instant breakthrough, permanent Mars base",Unknown,Unknown,True,False,False,67,4,True,False
29,0,12,4,0.3333333333333333,"Based on the online learning rules, which scenario is correct?
A. A student with 6h downtime must retake a rescheduled exam
B. A student with 6h downtime earns a certificate despite failing courses
C. External proctors block exam rescheduling after 6h downtime
D. 100% live attendance overrides 6h downtime effects",A,MCQ_A,True,False,False,68,4,True,True
30,0,20,3,0.15,"Based on the learning strategies, which combination is most effective for comprehension and retention?
A. Structured plan + hands-on experiments + visualization
B. Interactive tools + excessive screen time + cognitive fatigue
C. Minimal distractions + historical perspectives + leisure overload
D. Physical exercise + parallel subjects + scattered focus",Unknown,Unknown,True,False,False,48,3,True,False
30,1,20,3,0.15,"Do the premises support that a student using structured plans, hands-on experiments, and visualization will have improved comprehension and retention?",Yes,Yes,False,False,True,36,3,True,False
31,0,20,5,0.25,"If a student engages in play-based learning, participates in simulations, receives immediate and constructive feedback, and reflects on their learning, they will retain knowledge more effectively and develop problem-solving skills. Is this statement true?",Yes,Yes,False,False,True,69,5,True,False
32,0,20,9,0.45,"Do schools that implement structured disciplinary policies, restorative justice, and positive reinforcement strategies experience fewer infractions, higher student morale, and improved academic performance?",Yes,Yes,False,False,True,88,8,True,False
33,0,27,20,0.7407407407407407,"Does Alex earn a scholarship despite initial fears of fund depletion that were unfounded, attend university and gain internship opportunities through a professional network that nearly dissolved but was saved, complete an internship with mentorship despite initial mentor shortages that were resolved, develop professional skills and secure job offers at career fairs that were almost canceled but proceeded, and start a successful career after graduating with honors despite a competitive job market that improved just in time?",Yes,Yes,False,False,True,93,11,True,False
33,1,27,5,0.18518518518518517,"Does Alex not secure job offers because the job market weakened unexpectedly, and fail to start a successful career despite graduating with honors?",No,No,False,False,True,44,2,True,False
34,0,27,14,0.5185185185185185,"Can Mai successfully change majors from Information Technology to Biomedical Engineering, considering the entrance exam score, scholarship, and make-up course requirements, while assessing the risks of academic warnings or scholarship loss if she doesn't meet the requirements within 1 year after the transfer?",No,No,False,False,True,133,12,True,True
35,0,17,7,0.4117647058823529,"Can Lan participate in the flight practice session, and if not, does she have to take a make-up session within 2 weeks to retain her flight exam eligibility, considering the weather, absent instructor, and cancellation notification time?",No,No,False,False,True,131,9,False,True
36,0,34,19,0.5588235294117647,"Should Student A be confirmed as cheating and suspended from the exam, considering the signs from the exam, behavior during the exam, AI analysis, personal history, and the possibility of appeal being denied, and assessing additional penalties if there is evidence from the camera?",Yes,Yes,False,False,True,155,5,True,False
37,0,4,2,0.5,"Which of the following can be inferred about students?
A. All students complete all assigned exercises
B. Some students seek help from teaching assistants when needed
C. All students have a consistent study routine
D. Some students do not attend class regularly",Unknown,Unknown,True,False,False,27,2,True,False
37,1,4,2,0.5,"Is the following statement true? Statement: If there exists at least one student who attends class regularly, then there exists at least one student who completes all assigned exercises",No,No,False,True,False,30,2,True,True
38,0,10,3,0.3,"Based on the above premises, which conclusion is correct?
A. At least one student attends lectures regularly.
B. There exists a student who attends lectures but does not complete assignments on time.
C. All students understand the material.",A,MCQ_A,True,False,False,71,5,False,True
38,1,10,2,0.2,"According to the above premises, is the following statement true?
Statement: All students attend lectures regularly.",Yes,Yes,False,True,False,29,2,True,False
39,0,10,3,0.3,"Based on the premises, which statement is correct?
A. At least one student graduates.
B. Some students actively participate in class discussions but do not submit homework on time.
C. All students fail the exams.",A,MCQ_A,True,False,False,58,4,True,True
39,1,10,5,0.5,"According to the premises, is the following statement true?
Statement: If a student is registered for an advanced course, they will achieve success.",Yes,Yes,False,True,False,57,5,True,False
40,0,10,1,0.1,"Based on the premises, which statement is correct?
A. Students who solve math problems correctly must have practiced them.
B. Some students ask questions in math class even if they do not attend lectures.
C. All students who practice math problems ask questions in class.",A,MCQ_A,True,False,False,38,1,True,False
40,1,10,2,0.2,"According to the premises, is the following statement true?
Statement: If a student passes the math exam, they will excel in mathematics.",No,No,False,True,False,43,2,True,False
41,0,10,1,0.1,"Based on the premises, which statement is correct?
A. Anyone with experience in their field must be hardworking.
B. Some people are responsible but not punctual.
C. All hardworking people are responsible.",Unknown,Unknown,True,False,False,40,1,True,False
41,1,10,2,0.2,"According to the premises, is the following statement true?
Statement: If a person is promoted, they will become a leader in their organization.",No,No,False,True,False,41,2,True,False
42,0,10,3,0.3,"Based on the premises, which statement is correct?
A. There exists at least one student who is eligible for a scholarship.
B. Submitting all assignments on time never improves GPA.
C. All students on the honor roll never have high GPAs.",Unknown,Unknown,True,False,False,54,3,True,True
42,1,10,3,0.3,"According to the premises, is the following statement true?
Statement: There exists at least one student on the honor roll who is eligible for a scholarship.",No,No,False,True,False,53,3,True,True
43,0,9,2,0.2222222222222222,"Based on the premises, which statement is correct?
A. Attending lectures leads to performing well in exams.
B. A student with a scholarship always has high grades.
C. If a student does not understand the material, they cannot perform well in exams.
D. More study time guarantees high achievement.",A,MCQ_A,True,False,False,80,2,True,False
43,1,9,6,0.6666666666666666,"Is the following statement true according to the premises?
Statement: There exists a positive feedback loop where improved grades lead to scholarship eligibility which leads to more study time and further grade improvement.",No,No,False,True,False,45,0,True,False
44,0,12,3,0.25,"Based on the premises, which statement is best supported?
A. Failing to secure an internship prevents improved job prospects.
B. Attending lectures regularly leads to a high GPA.
C. Financial benefits imply participation in research projects.
D. Practical experience guarantees eligibility for academic awards.",B,MCQ_B,True,False,False,65,3,True,True
44,1,12,5,0.4166666666666667,"Does attending lectures initiate a causal chain leading to increased earning potential, according to the premises?",No,No,False,True,False,40,0,True,False
45,0,12,2,0.16666666666666666,"Based on the above premises, which conclusion is most supported?
A. Students who do not perform well in internships will never receive full-time job offers.
B. Having industry connections can help a student gain practical experience indirectly.
C. Building a strong resume directly increases a student’s earning potential.
D. Students who do not have a mentor cannot make any career decisions.",B,MCQ_B,True,False,False,61,2,True,False
45,1,12,3,0.25,"Is there a logical chain from applying for internships to increasing one’s earning potential, according to the premises?",No,No,False,True,False,43,0,True,False
46,0,12,3,0.25,"Based on the premises, which of the following is best supported?
A. Students who attend career workshops are guaranteed to get hired after interviews.
B. Building a strong resume directly leads to financial stability.
C. Having a career mentor leads to better long-term career growth.
D. Gaining relevant work experience prevents the need for strong interview performance.",C,MCQ_C,True,False,False,68,3,True,False
46,1,12,3,0.25,"Is there a logical path from attending career workshops to achieving financial stability, according to the premises?",No,No,False,True,False,40,0,True,False
47,0,12,1,0.08333333333333333,"Based on the premises, which statement is correct?
A. If a student manages their time effectively, they receive feedback on assignments.
B. A student who uses feedback improves their grades.
C. If a student has high academic performance, they are less likely to get job opportunities.
D. If a student does not attend lectures, they definitely cannot understand the subject.",Unknown,Unknown,True,False,False,20,1,True,False
47,1,12,4,0.3333333333333333,"According to the premises, is the following statement true?
Statement: There exists a complete pathway from attending lectures regularly to receiving job opportunities.",No,No,False,True,False,34,0,True,False
48,0,12,2,0.16666666666666666,"Based on the above premises, which conclusion is correct?
A. If a student gains academic recognition, they must have received a research grant.
B. A student who does not publish research can still receive a research grant.
C. If a student does not engage in independent study, they will never publish research.
D. If a student engages in independent study, they are likely to publish research and may gain academic recognition.",D,MCQ_D,True,False,False,36,2,False,False
48,1,12,0,0.0,"According to the above premises, is the following statement true?
Statement: If a student engages in independent study, they have a higher chance of accessing advanced research opportunities.",Unknown,Unknown,False,True,False,48,1,False,False
49,0,12,2,0.16666666666666666,"Based on the premises, which statement is correct?
A. Engaging in research improves a student's chances of gaining academic recognition.
B. A student who does not win an academic competition can still receive a merit award.
C. If a student participates in academic competitions, they will receive academic recognition.",Unknown,Unknown,True,False,False,26,2,True,False
49,1,12,2,0.16666666666666666,"According to the premises, is the following statement true?
Statement: There exists a complete pathway from engaging in research to receiving academic recognition.",No,No,False,True,False,29,2,True,False
50,0,12,2,0.16666666666666666,"Based on the premises, which statement is correct?
A. If a student maintains a high GPA, they are more likely to receive a scholarship.
B. A student who does not maintain a high GPA can still qualify for a merit-based scholarship.
C. If a student does not engage in extracurricular activities, they will never receive a scholarship.",A,MCQ_A,True,False,False,30,2,True,True
50,1,12,2,0.16666666666666666,"According to the premises, is the following statement true?
Statement: There exists a complete pathway from maintaining a high GPA to receiving a scholarship.",Yes,Yes,False,True,False,24,0,True,True
51,0,12,3,0.25,"Based on the premises above, which of the following statements can be logically concluded?
A. If a student applies for financial aid and qualifies, they are more likely to receive support and reduce financial stress.
B. If a student has less financial stress, they are more likely to perform better academically.
C. If a student does not qualify for any aid and takes no counseling, they are guaranteed to take on student loans.
D. If a student receives financial aid, their tuition burden remains the same.",Unknown,Unknown,True,False,False,29,0,True,False
51,1,12,3,0.25,"Based on the premises, is the following rule enforced?
Rule: If a student applies for financial aid, and they have a low family income, they increase their chances of receiving support and reducing tuition burden.",No,No,False,False,True,34,3,True,False
52,0,12,1,0.08333333333333333,"Based on the above premises, which statement can be logically inferred?
A. Practicing Python regularly always results in worse coding skills.
B. Practicing Python regularly improves coding skills.
C. Students who do not practice Python regularly become proficient in Python.
D. Practicing Python has no effect on a student’s coding abilities.",Unknown,Unknown,True,False,False,22,1,True,False
52,1,12,3,0.25,"Based on the above premises, is the statement true?
Statement: If a student never practices coding, they will still become proficient in Python.",No,No,False,False,True,38,3,True,False
53,0,17,2,0.11764705882352941,"Based on the above premises, which conclusion is correct?
A. If a Python project is not optimized, then it is unlikely to be well-tested.
B. If all Python projects are well-structured, then all Python projects are optimized.
C. If a Python project follows PEP 8 standards, then it must be well-tested.
D. If a Python project is not well-structured, then it might not follow PEP 8 standards.",B,MCQ_B,True,False,False,21,2,True,True
53,1,17,2,0.11764705882352941,"According to the above premises, is the following statement true?
Statement: If all Python projects are well-structured, then all Python projects are optimized.",Yes,Yes,False,True,False,26,0,True,False
54,0,12,4,0.3333333333333333,"Based on the above premises, which statement can be inferred?
A. A cost-effective Raspberry Pi system may fail to support all versatile use-cases if it is not thoroughly tested and well-documented.
B. Every Raspberry Pi system is necessarily versatile if it is cost-effective.
C. If a Raspberry Pi system is cost-effective but not thoroughly tested and well-documented, then it is still versatile.
D. A Raspberry Pi system is necessarily versatile even if it is not cost-effective.",Unknown,Unknown,True,False,False,51,2,True,False
54,1,12,0,0.0,"Based on the above premises, is the statement true?
Statement: If a Raspberry Pi system is cost-effective, then it is necessarily versatile.",Unknown,Unknown,False,False,True,36,1,False,False
55,0,11,2,0.18181818181818182,"Based on the above premises, which of the following conclusions can be inferred?
A. It is not the case that if an EV charging station being not widely available implies that it is not thoroughly maintained then every EV charging station meets safety standards.
B. If it is true that if an EV charging station being not widely available implies that it is not thoroughly maintained then every EV charging station meets safety standards, then it follows that if an EV charging station being not widely available implies that it is not thoroughly maintained then every EV charging station meets safety standards.
C. Both that if an EV charging station being not widely available implies that it is not thoroughly maintained then every EV charging station meets safety standards, and that it is not the case that if an EV charging station being not widely available implies that it is not thoroughly maintained then every EV charging station meets safety standards.
D. If an EV charging station being not widely available implies that it is not thoroughly maintained, then every EV charging station meets safety standards.",D,MCQ_D,True,False,False,31,2,False,False
55,1,11,2,0.18181818181818182,"Based on the above premises, answer the following: Is the following statement true?
""If an EV charging station being not widely available implies that it is not thoroughly maintained, then every EV charging station that is widely available supports fast charging.""",No,No,False,True,False,26,2,False,False
56,0,19,2,0.10526315789473684,"Based on the above premises, which of the following conclusions can be inferred?
A. If it is the case that if a microchip not being functional implies that it does not have a stable power supply then there exists at least one microchip that meets performance standards, then it follows that if a microchip not being functional implies that it does not have a stable power supply then there exists at least one microchip that meets performance standards.
B. If a microchip not being functional implies that it does not have a stable power supply, then there exists at least one microchip that meets performance standards.
C. Both the statement that if a microchip not being functional implies that it does not have a stable power supply then there exists at least one microchip that meets performance standards and the statement that it is not the case that if a microchip not being functional implies that it does not have a stable power supply then there exists at least one microchip that meets performance standards are true.
D. It is not the case that if a microchip not being functional implies that it does not have a stable power supply, then there exists at least one microchip that meets performance standards.",B,MCQ_B,True,False,False,35,0,True,True
56,1,19,1,0.05263157894736842,"Based on the above premises, is the following statement true?
Statement: If a microchip is not functional, then it does not have a stable power supply.",No,No,False,True,False,19,1,False,False
57,0,12,2,0.16666666666666666,"Based on the above premises, which statement can be inferred?
A. It is false that if every transportation system in the city is safe, then there exists at least one transportation system that is cost-effective.
B. Both (every transportation system in the city is safe implies there exists at least one cost-effective transportation system) and its negation hold, leading to a contradiction.
C. If every transportation system in the city is safe implies there exists at least one cost-effective transportation system, then this implication is always true.
D. If every transportation system in the city is safe, then there exists at least one transportation system that is cost-effective.",D,MCQ_D,True,False,False,29,0,True,True
57,1,12,0,0.0,"Based on the above premises, is the statement true?
Statement: If a transportation system is safe, then it is necessarily cost-effective.",No,No,False,False,True,21,1,False,False
58,0,14,2,0.14285714285714285,Does it follow that every hardware component is thoroughly validated?,Yes,Yes,False,True,False,61,4,True,False
59,0,12,2,0.16666666666666666,Does every drone have a GPS system?,No,No,False,False,True,56,4,True,False
59,1,12,2,0.16666666666666666,Are all drones operating safely?,No,No,False,False,True,57,4,True,False
60,0,10,2,0.2,Does every IoT device provide accurate data?,Yes,Yes,False,False,True,56,3,True,False
60,1,10,4,0.4,Are all IoT devices energy-efficient?,Yes,Yes,False,False,True,65,4,True,False
61,0,14,2,0.14285714285714285,Are all VR games thoroughly tested?,Yes,Yes,False,False,True,48,3,True,False
61,1,14,2,0.14285714285714285,"Is the following statement true? ""If a VR game is not thoroughly tested, then it is not engaging, which means any engaging VR game is stable.""",No,No,False,True,False,72,3,True,False
62,0,13,2,0.15384615384615385,Are all blockchain networks efficient?,Yes,Yes,False,False,True,44,3,True,False
62,1,13,3,0.23076923076923078,Are all blockchain networks scalable?,Yes,Yes,False,False,True,59,3,True,False
63,0,10,3,0.3,Are all autonomous vehicles safe?,Unknown,Unknown,False,False,True,43,3,True,False
63,1,10,2,0.2,Are all autonomous vehicles market-adopted?,Yes,Yes,False,False,True,50,4,True,False
64,0,9,2,0.2222222222222222,Does every AI application receive notable academic recognition?,No,No,False,False,True,53,3,True,False
64,1,9,3,0.3333333333333333,Are all AI applications rigorously tested?,Unknown,Unknown,False,False,True,48,3,True,False
65,0,12,2,0.16666666666666666,Are all cloud services reliable?,Yes,Yes,False,False,True,46,3,True,False
65,1,12,2,0.16666666666666666,Are all cloud services cost-effective?,No,No,False,False,True,46,3,True,False
66,0,11,2,0.18181818181818182,Are there any energy-efficient smart home devices?,No,No,False,False,True,36,2,True,False
66,1,11,3,0.2727272727272727,Are all smart home devices user-friendly?,Unknown,Unknown,False,False,True,44,3,True,False
67,0,10,2,0.2,Are all smartphones highly efficient?,No,No,False,False,True,50,3,True,False
67,1,10,3,0.3,Do all smartphones support advanced camera features?,Unknown,Unknown,False,False,True,47,3,True,False
68,0,11,2,0.18181818181818182,Do all courses meet curriculum standards?,No,No,False,False,True,41,3,True,False
68,1,11,2,0.18181818181818182,Are there any courses offered online?,No,No,False,False,True,39,2,True,False
69,0,12,3,0.25,Are all research projects successful?,Yes,Yes,False,False,True,42,3,True,False
69,1,12,2,0.16666666666666666,Are all research projects highly cited?,Unknown,Unknown,False,False,True,37,2,True,False
70,0,16,2,0.125,Are all academic works current?,Yes,Yes,False,False,True,37,3,True,False
70,1,16,2,0.125,Do all academic works meet quality standards?,No,No,False,False,True,39,2,True,False
71,0,17,2,0.11764705882352941,Do all C++ projects adhere to modern C++ standards?,No,No,False,False,True,45,3,True,False
71,1,17,2,0.11764705882352941,Are all C++ projects portable?,Yes,Yes,False,False,True,38,3,True,False
72,0,8,3,0.375,Are all biometric systems secure?,No,No,False,False,True,48,4,False,False
72,1,8,0,0.0,Are all biometric systems portable?,Unknown,Unknown,False,False,True,23,0,True,False
73,0,22,2,0.09090909090909091,"Based on the above premises, which statement can be inferred?
A. If a student receives a scholarship, they must be excellent.
B. If a student does not participate in extracurricular activities, then they receive a scholarship.
C. If a student does not submit their research paper, then they are excellent.
D. If all enrolled students are excellent, then no student without excellence can receive a scholarship.",Unknown,Unknown,True,False,False,34,2,True,False
