id,question,original_answer,original_unit,verdict,llm_answer,llm_unit,reason
THCB101,The length is measured as 60.0 ± 0.3 cm. Calculate the percentage relative uncertainty (or percentage relative error).,0.5,%,correct,0.5,%,
NL337,"A capacitor has a capacitance of 20 µF, and the voltage changes from 0 to 300 V. What is the maximum electric field energy (J) achieved?",0.9,J,correct,0.9,J,
LD005,"Three electric charges, q1 = q2 = q3 = 1.6 × 10^-19 C, are placed at the three vertices of an equilateral triangle ABC with side length 16 cm in air. Determine the net electric force vector acting on q3.",9\sqrt{3} × 10^-27,N,incorrect,1.56e-26,N,"The net force on q3 is the vector sum of two equal repulsive forces of magnitude kq^2/r^2 ≈ 9.0e9(1.6e-19)^2/(0.16)^2 ≈ 9.0e-27 N separated by 60°, giving a resultant F = √3 F0 ≈ 1.56e-26 N, not 9√3×10^-27 N."
LD290,"Three identical charges, q = -3 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with a side length of 20 cm. Calculate the net force acting on the charge located at the right angle. Give your answer rounded to four decimal places.",2.8638,N,correct,2.8638,N,
LD211,"Three identical charges, q = +5 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs of 10 cm. Calculate the net force acting on the charge at the right angle.",31.780,N,incorrect,35.36,N,"Using Coulomb’s law, each adjacent charge exerts 22.5 N on the right-angle charge; these forces are perpendicular, so the net is sqrt(22.5^2+22.5^2)=31.8 N, not 35.36 N."
CH057,An RLC series resonant circuit has a voltage U = 250 V and a resistance R = 125 Ω. What is the power consumed?,500,W,correct,500,W,
CH020,"At resonance, the total impedance of the circuit is measured to be Z = 300 Ω. What is the value of the pure resistance R?",300,Ω,correct,300,Ω,
TD177,An air-filled parallel plate capacitor has a plate area of 42.3 cm² and a plate separation of 1.02 mm. Calculate the capacitance of the capacitor. Give your answer rounded to two decimal places.,36.72,pF,correct,36.72,pF,
THCB108,"Three height measurements were taken: 120.0 cm, 119.8 cm, 120.2 cm. Calculate the mean value and the mean absolute error.",120.0; 0.133,cm; cm,correct,120.0; 0.133,cm; cm,
LD270,"Two point charges, q1 = +4 × 10^-6 C and q2 = -4 × 10^-6 C, are located at points A and B, separated by 8 cm. A third charge, q3 = -4 × 10^-6 C, is placed at the midpoint of AB. Calculate the net electric force acting on q3.",180.0,N,incorrect,0,N,"The forces on q3 from q1 and q2 have equal magnitude but opposite directions at the midpoint, so they cancel."
DDT363,"In an LC circuit, if the total energy is 0.02 J and the maximum current is 0.2 A, what is the inductance L?",1,H,correct,1,H,
CH068,What L is needed for a circuit with C = 20 μF to resonate at 60 Hz?,351.8,mH,correct,351.9,mH,
DT048,"At the three vertices of a right-angled triangle ABC (with the right angle at A), which has side lengths BC = 50 cm, AC = 40 cm, and AB = 30 cm, charges q1 = q2 = q3 = 10^-9 C are placed. Determine the magnitude of the electric field at point H, which is the foot of the altitude drawn from vertex A.",246,V/m,correct,246,V/m,
NL009,"A capacitor has a voltage of U = 200 V, and the stored electric field energy is 2 mJ. Calculate the capacitance (μF) of the capacitor.",0.10,μF,correct,0.10,μF,
CH026,A series RLC circuit consists of an inductor L = 0.3 H and a capacitor C = 30 μF. Determine the resonant frequency.,53.05,Hz,correct,52.79,Hz,
TD393,A capacitor C = 10 μF is charged to U = 100 V. The capacitor plates are then split in half without any charge leakage. Calculate the new capacitance.,5.000,μF,correct,5.0,μF,
THCB114,Three voltage readings: 9.9V; 10.1V; 10.0V. Calculate the average voltage and the average absolute error.,10.0; 0.067,V; V,correct,10.0; 0.067,V; V,
CH078,"Calculate the required capacitance C for resonance at f = 75 Hz, with an inductor L = 0.8 H.",5.63,μF,correct,5.63,μF,
LD087,Given a square ABCD with side length 'a'. Charges q1 = q3 = q are placed at A and C. What charge must be placed at B so that the electric field at D is zero?,-2\sqrt{2} x q,-,incorrect,-q/(2\sqrt{2}),C,"At D, fields from A and C each have magnitude kq/a^2 along perpendicular directions, giving a resultant of kq\sqrt{2}/a^2 along the diagonal; the charge at B must produce an equal opposite field, so q_B satisfies k|q_B|/a^2 = kq\sqrt{2}/a^2 with direction toward B, hence q_B = -q/(2\sqrt{2})."
LD246,"Three identical charges, q = +8 × 10^-6 C, are placed at the three vertices of a right isosceles triangle with leg lengths of 20 cm. Calculate the net force acting on the charge at the right-angle vertex.",20.360,N,incorrect,25.6,N,"The force from each of the other two charges on the right-angle vertex is kq^2/r^2 = 17.28 N along perpendicular directions, so the net is sqrt(2) times that, about 24.4 N, not 20.36 N."
NL386,A capacitor has a time-dependent voltage U(t) = 120sin(2000t) and a capacitance C = 10 µF. Calculate the maximum electric field energy.,0.072,J,correct,0.072,J,
NL006,The energy stored in a 10 μF capacitor is 0.5 mJ. Calculate the voltage (unit: V) across its plates.,10.00,V,correct,10,V,
LD107,"Two electric charges q1 = -6 × 10^-8 C and q2 = +5 × 10^-8 C are placed at two points A and B, 8 cm apart, in air. A charge q3 = +2 × 10^-8 C is placed at point C, knowing that the distance from C to A is 10 cm and from C to B is 8 cm. Calculate the net electric force acting on q3.",1.116*10^-3,N,incorrect,1.08e-3,N,"Using Coulomb’s law, the forces on q3 from q1 and q2 are 1.08×10^-3 N and 1.40625×10^-3 N, with an angle of about 53.1° between them, giving a resultant of about 1.08×10^-3 N, not 1.116×10^-3 N."
CH200,"Consider a series RLC circuit. At an initial angular frequency ω₀, the inductive reactance X_L is 16 Ω, and the capacitive reactance X_C is 32 Ω. What is the value of k for the circuit to be in resonance when the angular frequency is set to k×ω₀?",1.414,-,correct,1.414213562,-,
NL020,An inductor has an inductance of 0.6 H and a current of 1.5 A. Calculate the magnetic field energy (mJ).,675.00,mJ,correct,675,mJ,
LD077,"Two test charges q1 and q2 (q1 = 4q2) are placed at points A and B respectively in an electric field. The force acting on q1 is F1, and the force acting on q2 is F2 (with F1 = 3F2). Let E1 and E2 be the electric field strengths at A and B respectively. What is the relationship between E1 and E2?",E1 = (3/4)E2,-,correct,E1 = (3/4)E2,-,
NL121,A capacitor with C = 25 μF has a voltage of 120 V across it. Calculate the electric field energy (mJ) in the capacitor.,180.00,mJ,correct,180,mJ,
LD216,"Three identical charges, q = +7 × 10^-7 C, are placed at the three vertices of an isosceles right triangle with legs of 20 cm. Calculate the net force acting on the charge at the right-angle vertex.",0.156,N,correct,0.156,N,
NL314,A capacitor has a capacitance of 10 µF and is charged to 100 V. What is the electric field energy (J)?,0.05,J,correct,0.05,J,
NL360,What current is required for an inductor with an inductance of 0.8 H to store a magnetic energy of 3.2 J ?,2.83,A,correct,2.83,A,
THCB110,An object has an **actual length** of 150.0 cm. A student measured it as 149.2 cm. Calculate the **absolute error** and **relative error.,0.8; 0.53,cm; %,correct,0.8; 0.533,cm; %,
CH188,"For a series RLC circuit with fixed components, when the angular frequency of the current is ω0, X_L = 30 Ω and X_C = 75 Ω. By what factor must the angular frequency be multiplied (relative to ω0) for resonance to occur?",1.581,-,correct,1.581,-,
LD289,"Two electric charges, q1 = +5 × 10^-8 C and q2 = -5 × 10^-8 C, are placed at two points A and B, separated by 10 cm. A third charge, q3 = -5 × 10^-8 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.",0.018,N,correct,0.018,N,
TD057,A flat capacitor has a capacitance of 31.89 pF and is charged to a voltage of 147.0 V. Calculate the charge stored by the capacitor.,4.69,nC,correct,4.69,nC,
DDT366,The current in an LC circuit is given by the expression i = I₀cos(ωt). Given I₀ = 0.5 A and L = 0.2 H. Calculate the maximum magnetic energy.,0.025,J,correct,0.025,J,
LD361,"Two charges, q1 = 4.98 × 10^-6 C and q2 = 4.74 × 10^-6 C, are located such that each is 4.56 cm away from point M. The electric fields they produce at M are at a 90° angle to each other. Calculate the magnitude of the resultant electric field at M. Give your answer rounded two decimal places.",2.98*10^7,V/m,correct,2.98e7,V/m,
NL032,A capacitor with C = 20 μF stores 2 mJ of energy. Calculate the voltage (unit: V) across its plates (round the result to two decimal places).,14.14,V,correct,14.14,V,
LD079,"Two electric charges, q1 = q2 = 5 × 10^-9 C, are placed 10 cm apart in a vacuum. What is the magnitude of the electric field strength at the midpoint of the line segment connecting the two charges?",0,V/m,correct,0,V/m,
DDT202,"A solenoid has a turn density of 2500 turns/m, an electric current of 2 A. Calculate the magnetic field inside the solenoid.",6.283,mT,correct,6.283,mT,
CH192,"In a series RLC circuit, at ω₀, the inductor has an inductive reactance of 60 Ω and the capacitor has a capacitive reactance of 135 Ω. To what multiple of ω₀ must the angular frequency be changed to achieve resonance?",1.5,-,incorrect,1.5,,"At resonance in a series RLC circuit, ωL = 1/(ωC), so ω/ω₀ = sqrt(X_C/X_L) = sqrt(135/60) = 1.5 only if the reactances are evaluated at the same frequency; here the required factor is sqrt(135/60) = 1.5, so the proposed answer is actually correct."
DT045,"A charge q = 10^-7 C is placed in the electric field of a point charge Q, experiencing a force F = 3 mN. Calculate the magnitude of charge Q, given that the two charges are separated by a distance of 30 cm in vacuum.",3 . 10^{-7},C,correct,3×10^-7,C,
DT074,"Consider two wide, parallel insulating plates with surface charge densities of σ and (−σ), respectively. The distance between them is very small compared to the dimensions of the plates. What is the magnitude of the electric field at a point located between the two plates, given that σ = 8.85 × 10^-6 C/m^2?",1000000,N/C,correct,1.0e6,N/C,
NL016,An inductor has a current of 1.8 A and a magnetic field energy of 3.24 mJ. Calculate the inductance L (H).,0.002,H,correct,0.002,H,
DDT155,A solenoid is 0.3 m long and has 900 turns. What is the turn density?,3000,turns/m,correct,3000,turns/m,
LD134,Three identical charges q = +2 × 10^-7 C are placed at the 3 vertices of an isosceles right triangle with legs of length a = 12 cm. Calculate the net force acting on the charge at the right-angle vertex.,0.035,N,incorrect,0.0354,N,"The force from each of the other two charges on the right-angle vertex has magnitude kq^2/a^2 = 0.025 N and the two forces are perpendicular, so the net is sqrt(2) times this, about 0.0354 N."
LD188,"Two electric forces have magnitudes of 6 N and 9 N, acting at an angle of 45° to each other. Calculate the resultant force of these two electric forces.",13.906,N,correct,13.91,N,
LD347,"Two electric charges, q1 = -2.4 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed 6.0 cm apart. A point M is located 2.0 cm from q1 and 4.0 cm from q2. Calculate the resultant electric field strength at M. Give your answer rounded three decimal places.",4.725*10^7,V/m,incorrect,1.350e7,V/m,"The fields from both negative charges at M point toward each charge and oppose each other along the line, so the net field is |kq1/r1^2 - kq2/r2^2| = 1.35×10^7 V/m, not 4.725×10^7 V/m."
CH370,"At resonance, U = 90 V, R = 15 Ω, L = 0.25 H, C = 10 µF. Calculate UL.",948.68,V,correct,948.68,V,
CH248,"Circuit AB satisfies the condition LCω² = 1, and the voltages uAM and uMB are 90 degrees out of phase. Given R1 = 25 Ω and R2 = 30 Ω, calculate the power factor of the entire circuit.",1,-,incorrect,0.64,-,"With LCω^2=1 the reactive parts cancel in the series branch, and the phase relation of uAM and uMB gives an overall power factor of R1/(R1+R2)=25/55≈0.45, not 1."
LD312,"Two point charges, q1 = +1.2 × 10^-6 C and q2 = -1.2 × 10^-6 C, are placed at points A and B, separated by a distance of 5.2 cm. Consider point M as the midpoint of the segment AB. Calculate the resultant electric field strength at M.Give your answer rounded one decimal places.",3.2 × 10^7,V/m,correct,3.2 × 10^7,V/m,
LD372,Two electric charges q1 = 3.79 × 10^-6 C and q2 = 4.96 × 10^-6 C are each located 2.32 cm from point M. The electric fields they produce at M form a 60° angle with each other. Calculate the magnitude of the resultant electric field at M. Give your answer rounded two decimal places.,127.09 × 10^6,V/m,incorrect,2.00e7,V/m,"Using E = kq/r^2 with r = 0.0232 m gives E1 ≈ 6.34×10^7 V/m and E2 ≈ 8.30×10^7 V/m; combining with a 60° angle gives ER ≈ 2.00×10^7 V/m, not 1.2709×10^8 V/m."
TD178,A parallel plate capacitor has a capacitance of 36.53 pF and is charged to a voltage of 124.5 V. Calculate the charge on the capacitor. Give your answer rounded to two decimal places.,4.55,nC,correct,4.55,nC,
DT047,"A charge q is placed at point O in the air. Ox is an electric field line. Take two points A and B on Ox. Let M be the midpoint of AB. E_A is the electric field strength at A, and E_B is the electric field strength at B. Determine 1/sqrt(E_M) in terms of E_A and E_B.",1/2 . (1/ \sqrt{E_A} + 1/ \sqrt{E_B}),,correct,1/2 \left(1/\sqrt{E_A} + 1/\sqrt{E_B}\right),,
NL102,"An inductor has a current of 5 A, and the magnetic field energy is 2 mJ. Calculate the inductance (H).",0.00016,H,correct,0.00016,H,
LD109,"Two charges q1 = -2 × 10^-8 C and q2 = -5 × 10^-8 C are placed at points A and B, 12 cm apart in the air. A third charge q3 = -5 × 10^-8 C is placed at point C, given that the distance from C to A is 5 cm and the distance from C to B is 9 cm. Calculate the net electric force acting on q3.",3.5*10^-3,N,incorrect,0.0015,N,"Using Coulomb’s law, F_CA = k|q1q3|/0.05^2 = 3.6×10^-4 N and F_CB = k|q2q3|/0.09^2 = 2.78×10^-4 N; since the angle at C is 90° (5-12-9 triangle), the net force is sqrt(F_CA^2+F_CB^2) ≈ 4.5×10^-4 N, not 3.5×10^-3 N."
NL031,A capacitor with capacitance C = 60 μF is charged to U = 150 V. Calculate the electric field energy (mJ) in the capacitor.,675.00,mJ,correct,675,mJ,
NL330,"When the electric field energy equals the magnetic field energy in an ideal LC circuit, what is the ratio of the voltage across the capacitor to the current in the inductor?",1 / (ωC),Ω,correct,1/(ωC),Ω,
CH214,"An RLC series circuit has fixed component values. At ω0, the inductive reactance of the inductor is 32 Ω, and the capacitive reactance of the capacitor is 128 Ω. By what factor must ω be changed relative to ω0 for the circuit to be in resonance?",2.0,-,correct,2,-,
CH104,"Given R=25Ω. At a frequency f=120Hz, the circuit is in resonance, and the current I=5A. When the frequency is doubled, the current becomes I=2.5A. What is ZL (the inductive reactance at the initial frequency of 120Hz)?",28.87,Ω,incorrect,25,Ω,"At resonance the impedance equals R=25Ω, so with V=IR=125V; when frequency doubles and current is 2.5A, |Z|=50Ω, giving |X_L-X_C|=sqrt(50^2-25^2)=43.30Ω, and at resonance X_L=X_C, so the initial inductive reactance is 43.30Ω, not 28.87Ω."
DT053,"Two point charges q1 = 2 x 10⁻² μC and q2 = –2 x 10⁻² μC are placed at points A and B, separated by a distance a = 30 cm, in the air. What is the magnitude of the electric field strength at point M, which is equidistant from A and B by a distance equal to a?",2000,V/m,correct,2000,V/m,
LD116,"Two electric charges q1 = -4 × 10^-8 C and q2 = -8 × 10^-8 C are placed at two points A and B, 16 cm apart, in the air. A charge q3 = +2 × 10^-8 C is placed at point C, given that the distance from C to A is 6 cm and from C to B is 10 cm. Calculate the net electric force acting on q3.",0.56*10^-3,N,correct,5.6e-4,N,
THCB099,A student measured the temperature as 36.5 ± 0.2 °C. Calculate the percentage relative error.,0.55,%,correct,0.55,%,
DT100,"Two electric charges q₁ = +2 × 10^-8 C and q₂ = +2 × 10^-8 C are placed at two points A and B, separated by 8 cm. Calculate the magnitude of the electric field at point M, which lies on the perpendicular bisector of AB and is 6 cm away from AB.",5.76 x 10^4,N/C,incorrect,1.92 x 10^5,N/C,"At M, the horizontal field components cancel and the vertical components add: r = sqrt(4^2+6^2) cm = 0.0721 m, so E = 2(kq/r^2)(6/7.211) ≈ 1.92×10^5 N/C, not 5.76×10^4 N/C."
LD355,"Two electric charges q1 = 4.2 × 10⁻⁶ C and q2 = -1.2 × 10⁻⁶ C are separated by 7.5 cm. Point M lies on the line connecting A and B, but outside the segment AB, and is 10.8 cm to the right of A. Calculate the resultant electric field strength at M. Give your answer rounded two decimal places.",6.68 × 10^6,V/m,incorrect,3.84 × 10^6,V/m,"Using E = kq/r^2 with M 0.108 m from q1 and 0.033 m from q2, the fields add to about 3.84 × 10^6 V/m, not 6.68 × 10^6 V/m."
DDT209,The magnetic field energy density in a solenoid is proportional to the square of which quantity?,Magnetic induction $B$,—,correct,B^2,—,
LD008,"Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively. What is the resultant force?",7,N,correct,7,N,
TD167,A parallel-plate air capacitor has a capacitance of 27.62 pF and is charged to a potential difference of 108.8 V. Calculate the electric field energy stored in the capacitor. Give your answer rounded to onedecimal places.,163.4,nJ,correct,163.4,nJ,
NL114,"An inductor has a magnetic field energy of 1.2 mJ and L = 0.6 H. Calculate the current (unit: A, round the result to two decimal places).",0.06,A,correct,0.06,A,
CH172,"An RMS voltage U = 150 V is applied to a series RLC circuit with R = 100 Ω. The circuit is currently in resonance. Calculate the maximum power consumed, Pmax.",225,W,correct,225,W,
DT037,"At two points A and B, separated by 20 cm in air, charges q1 = -9 x 10^-6 C and q2 = -4 x 10^-6 C are placed respectively. Find point M where the net electric field due to these two charges is zero. Calculate the distance BM.",8,cm,correct,8,cm,
DDT144,A solenoid has an inductance L = 0.3 H. The current increases uniformly from 0 to 5 A in 0.02 s. What is the induced electromotive force?,75.00,V,correct,75,V,
CH184,What is the total impedance Z of a series RLC circuit with R = 80 Ω at resonance?,80,Ω,correct,80,Ω,
CH018,A resonant circuit has a total impedance of 115 Ω. What is the value of the pure resistance R?,115,Ω,correct,115,Ω,
LD210,"Two electric charges q1 = +2 × 10^-8 C and q2 = -2 × 10^-8 C are placed at two points A and B, 8 cm apart. A third charge q3 = -2 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.",4.495*10^-3,N,correct,4.5e-3,N,
CH345,"L = 0.15 H, C = 60 µF. Calculate the resonant frequency.",51.05,Hz,correct,51.5,Hz,
CH051,"In an RLC resonant circuit, R = 60 Ω, U = 240 V. Calculate the power.",960,W,correct,960,W,
NL357,"A coil has a current changing according to I(t) = 4sin(100πt), and an inductance L = 0.3 H. What is the maximum magnetic field energy (J)?",2.4,J,correct,2.4,J,
CH374,"For a circuit with L = 0.12 H, C = 30 µF, and R = 30 Ω, calculate the quality factor (Q).",2.11,,correct,2.11,,
LD238,"Three electric charges, q1 = q2 = q3 = +4 × 10^-6 C, are placed at the three vertices of an equilateral triangle with a side length of 15 cm. Calculate the total (or net/resultant) electric force acting on q3.",11.0851,N,incorrect,13.85,N,"Each of the two forces on q3 has magnitude kq^2/r^2 = 6.39 N, and the angle between them is 60°, so the resultant is F = sqrt(3)F0 ≈ 11.07 N, not 11.0851 N."
CH271,"Given XL = 35 Ω, XC = 140 Ω, R = 35 Ω, U = 140 V. If the frequency is doubled, what will be the effective (or RMS) current?",4,A,incorrect,2.8,A,"When frequency doubles, XL doubles to 70 Ω and XC halves to 70 Ω, so the circuit is resonant with impedance Z = R = 35 Ω, giving I = U/Z = 140/35 = 4 A."
DDT367,"Given C = 5 µF, the maximum charge on the capacitor is 2×10⁻⁴ C. Calculate the maximum voltage across the capacitor plates.",40,V,correct,40,V,
CH277,"In an AC circuit, XL = 20 Ω, XC = 80 Ω, R = 30 Ω, and the applied voltage U = 150 V. If the frequency is doubled, what is the power dissipated by R?",750,W,incorrect,450,W,"Doubling frequency doubles XL to 40 Ω and halves XC to 40 Ω, so the circuit becomes purely resistive with Z = 30 Ω; thus I = 150/30 = 5 A and P = I^2R = 25×30 = 750 W, but the proposed answer is numerically correct, so this should be marked correct."
CH263,"A circuit has XL = 7 Ω, XC = 112 Ω, and a total voltage U = 80 V. When the frequency is quadrupled (increased by a factor of 4), what is the RMS voltage across the resistor?",80,V,incorrect,80,V,"At 4× frequency, X_L becomes 28 Ω and X_C becomes 28 Ω, so the circuit is at resonance and the resistor gets the full source RMS voltage; however the question asks for the voltage across the resistor, which is 80 V only if the resistor is in series and the source voltage is unchanged, so the proposed answer is not justified from the given data."
CHLT005,"An RLC series circuit has a resistor R=60 Ω, an inductor L=0.8 H, and a capacitor C=5 μF. When the power source supplies a frequency of 50 Hz, does electrical resonance occur?",No,-,correct,No,-,
TD183,A parallel-plate air capacitor has a plate area of 35.6 cm² and the distance between the plates is 0.91 mm. Calculate its capacitance. Give your answer rounded to two decimal places.,34.64,pF,correct,34.64,pF,
NL304,"An inductor has an inductance of 0.2 H, and a current of 3 A flows through it. What is the magnetic field energy (J)?",0.9,J,correct,0.9,J,
DT091,A charge Q = 0.7 x 10^^-9 C is uniformly distributed along a semicircle with center O and radius R = 20 cm. Determine the electric field strength at O.,100,V/m,correct,100,V/m,
TD044,A parallel-plate air capacitor has a plate area of 21.2 cm² and a plate separation of 1.17 mm. Calculate the capacitance of the capacitor.,16.04,pF,correct,16.0,pF,
LD084,Three identical charges Q are fixed at the three vertices of an equilateral triangle with side 'a'. What is the magnitude of the electric field intensity at the center of the triangle?,0,V/m,correct,0,V/m,
CH160,"An effective voltage U = 120 V is applied to a series RLC circuit with R = 80 Ω, operating at resonance. Calculate the maximum effective current Imax.",1.5,A,correct,1.5,A,
